months,Sunspots
1987-01,101.6
1987-02,94.8
1987-03,109.7
1987-04,113.4
1987-05,106.2
1987-06,83.6
1987-07,91
1987-08,85.2
1987-09,51.3
1987-10,61.4
1987-11,54.8
1987-12,54.1
1988-01,59.9
1988-02,59.9
1988-03,59.9
1988-04,92.9
1988-05,108.5
1988-06,100.6
1988-07,61.5
1988-08,61
1988-09,83.1
1988-10,51.6
1988-11,52.4
1988-12,45.8
1989-01,40.7
1989-02,22.7
1989-03,22
1989-04,29.1
1989-05,23.4
1989-06,36.4
1989-07,39.3
1989-08,54.9
1989-09,28.2
1989-10,23.8
1989-11,22.1
1989-12,34.3
1990-01,26.5
1990-02,3.9
1990-03,10
1990-04,27.8
1990-05,12.5
1990-06,21.8
1990-07,8.6
1990-08,23.5
1990-09,19.3
1990-10,8.2
1990-11,1.6
1990-12,2.5
1991-01,0.2
1991-02,0.5
1991-03,10.9
1991-04,1.8
1991-05,0.8
1991-06,0.2
1991-07,4.8
1991-08,8.4
1991-09,1.5
1991-10,7
1991-11,9.2
1991-12,7.6
1992-01,23.1
1992-02,20.8
1992-03,4.9
1992-04,11.3
1992-05,28.9
1992-06,31.7
1992-07,26.7
1992-08,40.7
1992-09,42.7
1992-10,58.5
1992-11,89.2
1992-12,76.9
1993-01,73.6
1993-02,124
1993-03,118.4
1993-04,110.7
1993-05,136.6
1993-06,116.6
1993-07,129.1
1993-08,169.6
1993-09,173.2
1993-10,155.3
1993-11,201.3
1993-12,192.1
1994-01,165
1994-02,130.2
1994-03,157.4
1994-04,175.2
1994-05,164.6
1994-06,200.7
1994-07,187.2
1994-08,158
1994-09,235.8
1994-10,253.8
1994-11,210.9
1994-12,239.4
1995-01,202.5
1995-02,164.9
1995-03,190.7
1995-04,196
1995-05,175.3
1995-06,171.5
1995-07,191.4
1995-08,200.2
1995-09,201.2
1995-10,181.5
1995-11,152.3
1995-12,187.6
1996-01,217.4
1996-02,143.1
1996-03,185.7
1996-04,163.3
1996-05,172
1996-06,168.7
1996-07,149.6
1996-08,199.6
1996-09,145.2
1996-10,111.4
1996-11,124
1996-12,125
1997-01,146.3
1997-02,106
1997-03,102.2
1997-04,122
1997-05,119.6
1997-06,110.2
1997-07,121.7
1997-08,134.1
1997-09,127.2
1997-10,82.8
1997-11,89.6
1997-12,85.6
1998-01,57.9
1998-02,46.1
1998-03,53
1998-04,61.4
1998-05,51
1998-06,77.4
1998-07,70.2
1998-08,55.9
1998-09,63.6
1998-10,37.7
1998-11,32.6
1998-12,40
1999-01,38.7
1999-02,50.3
1999-03,45.6
1999-04,46.4
1999-05,43.7
1999-06,42
1999-07,21.8
1999-08,21.8
1999-09,51.3
1999-10,39.5
1999-11,26.9
1999-12,23.2
2000-01,19.8
2000-02,24.4
2000-03,17.1
2000-04,29.3
2000-05,43
2000-06,35.9
2000-07,19.6
2000-08,33.2
2000-09,38.8
2000-10,35.3
2000-11,23.4
2000-12,14.9
2001-01,15.3
2001-02,17.7
2001-03,16.5
2001-04,8.6
2001-05,9.5
2001-06,9.1
2001-07,3.1
2001-08,9.3
2001-09,4.7
2001-10,6.1
2001-11,7.4
2001-12,15.1
2002-01,17.5
2002-02,14.2
2002-03,11.7
2002-04,6.8
2002-05,24.1
2002-06,15.9
2002-07,11.9
2002-08,8.9
2002-09,16.8
2002-10,20.1
2002-11,15.8
2002-12,17
2003-01,28.2
2003-02,24.4
2003-03,25.3
2003-04,48.7
2003-05,45.3
2003-06,47.7
2003-07,56.7
2003-08,51.2
2003-09,50.2
2003-10,57.2
2003-11,57.2
2003-12,70.4
2004-01,110.9
2004-02,93.6
2004-03,111.8
2004-04,69.5
2004-05,86.5
2004-06,67.3
2004-07,91.5
2004-08,107.2
2004-09,76.8
2004-10,88.2
2004-11,94.3
2004-12,126.4
2005-01,121.8
2005-02,111.9
2005-03,92.2
2005-04,81.2
2005-05,127.2
2005-06,110.3
2005-07,96.1
2005-08,109.3
2005-09,117.2
2005-10,107.7
2005-11,86
2005-12,109.8
2006-01,104.4
2006-02,120.5
2006-03,135.8
2006-04,106.8
2006-05,120
2006-06,106
2006-07,96.8
2006-08,98
2006-09,91.3
2006-10,95.7
2006-11,93.5
2006-12,97.9
2007-01,111.5
2007-02,127.8
2007-03,102.9
2007-04,109.5
2007-05,127.5
2007-06,106.8
2007-07,112.5
2007-08,93
2007-09,99.5
2007-10,86.6
2007-11,95.2
2007-12,83.5
2008-01,91.3
2008-02,79
2008-03,60.7
2008-04,71.8
2008-05,57.5
2008-06,49.8
2008-07,81
2008-08,61.4
2008-09,50.2
2008-10,51.7
2008-11,63.2
2008-12,82.2
2009-01,61.5
2009-02,88.4
2009-03,80.1
2009-04,63.2
2009-05,80.5
2009-06,88
2009-07,76.5
2009-08,76.8
2009-09,64
2009-10,61.3
2009-11,41.6
2009-12,45.3
2010-01,43.4
2010-02,42.9
2010-03,46
2010-04,57.7
2010-05,42.4
2010-06,39.5
2010-07,23.1
2010-08,25.6
2010-09,59.3
2010-10,30.7
2010-11,23.9
2010-12,23.3
2011-01,27.6
2011-02,26
2011-03,21.3
2011-04,40.3
2011-05,39.5
2011-06,36
2011-07,55.8
2011-08,33.6
2011-09,40.2
2011-10,47.1
2011-11,25
2011-12,20.5
2012-01,18.9
2012-02,11.5
2012-03,11.5
2012-04,5.1
2012-05,9
2012-06,11.4
2012-07,28.2
2012-08,39.7
2012-09,13.9
2012-10,9.1
2012-11,19.4
2012-12,7.8
2013-01,8.1
2013-02,4.3
2013-03,21.9
2013-04,18.8
2013-05,12.4
2013-06,12.2
2013-07,1.9
2013-08,16.4
2013-09,13.5
2013-10,20.6
2013-11,5.2
2013-12,15.3
2014-01,16.4
2014-02,23.1
2014-03,8.7
2014-04,12.9
2014-05,18.6
2014-06,38.5
2014-07,21.4
2014-08,30.1
2014-09,44
2014-10,43.8
2014-11,29.1
2014-12,43.2
2015-01,51.9
2015-02,93.6
2015-03,76.5
2015-04,99.7
2015-05,82.7
2015-06,95.1
2015-07,70.4
2015-08,58.1
2015-09,138.2
2015-10,125.1
2015-11,97.9
2015-12,122.7
2016-01,166.6
2016-02,137.5
2016-03,138
2016-04,101.5
2016-05,134.4
2016-06,149.5
2016-07,159.4
2016-08,142.2
2016-09,188.4
2016-10,186.2
2016-11,183.3
2016-12,176.3
2017-01,159.6
2017-02,155
2017-03,126.2
2017-04,164.1
2017-05,179.9
2017-06,157.3
2017-07,136.3
2017-08,135.4
2017-09,155
2017-10,164.7
2017-11,147.9
2017-12,174.4
2018-01,114
2018-02,141.3
2018-03,135.5
2018-04,156.4
2018-05,127.5
2018-06,90
2018-07,143.8
2018-08,158.7
2018-09,167.3
2018-10,162.4
2018-11,137.5
